
qst_deliver_message|{s13}에게 편지를 전달하라
qst_deliver_message_to_enemy_lord|{s13}에게 메세지 전달
qst_raise_troops|{reg1} {s14}명을 양성하라
qst_escort_lady|{s13}을(를) {s14}(으)로 호위하라
qst_deal_with_bandits_at_lords_village|{s15}을(를) 약탈자들로부터 보호하라
qst_collect_taxes|{s3}에서 세금을 징수하라
qst_hunt_down_fugitive|{s4}을(를) 추적하라
qst_bounty_1|{s4}을 사냥하라
qst_bounty_1_text|{s9} {s4}라는 사람을 찾아서 처리하라. 그는 현재 {s3}에 있는 것으로 보인다.
qst_bounty_2|{s4}을 사냥하라
qst_bounty_2_text|{s9} {s4}라는 사람을 찾아서 처리하라. 그는 현재 {s3}에 있는 것으로 보인다.
qst_bounty_3|{s4}을 사냥하라
qst_bounty_3_text|{s9} {s4}라는 사람을 찾아서 처리하라. 그는 현재 {s3}에 있는 것으로 보인다.
qst_bounty_4|{s4}을 사냥하라
qst_bounty_4_text|{s9} {s4}라는 사람을 찾아서 처리하라. 그는 현재 {s3}에 있는 것으로 보인다.
qst_bounty_5|{s4}을 사냥하라
qst_bounty_5_text|{s9} {s4}라는 사람을 찾아서 처리하라. 그는 현재 {s3}에 있는 것으로 보인다.
qst_bounty_6|{s4}을 사냥하라
qst_bounty_6_text|{s9} {s4}라는 사람을 찾아서 처리하라. 그는 현재 {s3}에 있는 것으로 보인다.
qst_kill_local_merchant|{s3}의 지역 상인을 암살하라
qst_bring_back_runaway_serfs|도망친 농노를 붙잡아라
qst_follow_spy|접선 장소까지 밀정을 미행하라
qst_capture_enemy_hero|{s13}로부터 영주를 포로로 붙잡아라
qst_lend_companion|당신의 동료 {s3}을(를) {s9}에게 대여
qst_collect_debt|{s3}에게서 {s9}의 빚을 회수하라
qst_incriminate_loyal_commander|{s13}의 충성스러운 사령관인 {s16}에게 누명을 씌워라
qst_meet_spy_in_enemy_town|{s13}에서 스파이와 접선하라
qst_capture_prisoners|{reg1}명의 {s3} 포로를 확보하라
qst_lend_surgeon|당신의 동료인 {s3}을(를) {s1}에게 빌려준다.
qst_follow_army|{s9}의 군대에 종군하라
qst_report_to_army|총사령관 {s13}에게 보고하라
qst_deliver_cattle_to_army|소 {reg3}마리를 {s13}(으)로 배달하라
qst_join_siege_with_army|{s14}의 공성전에 참여하라
qst_screen_army|{s13} 군대의 진격을 막아라
qst_scout_waypoints|{s13}, {s14} 그리고 {s15}을(를) 정찰하라
qst_rescue_lord_by_replace|{s13}을(를) {s14}에서 구출하라
