qst_deliver_message|Deliver the Message to {s13}
qst_deliver_message_to_enemy_lord|Deliver the Message to {s13}
qst_raise_troops|Raise {reg1} {s14}
qst_escort_lady|Escort {s13} to {s14}
qst_deal_with_bandits_at_lords_village|Save the Village of {s15} from Marauding Bandits
qst_collect_taxes|Collect Taxes from {s3}
qst_hunt_down_fugitive|Hunt Down {s4}
qst_bounty_1|Hunt down {s4}
qst_bounty_1_text|The {s9} of {s14} asked you to hunt down the fugitive named {s4}. He is currently believed to be at {s3}.
qst_bounty_2|Hunt down {s4}
qst_bounty_2_text|The {s9} of {s14} asked you to hunt down the fugitive named {s4}. He is currently believed to be at {s3}.
qst_bounty_3|Hunt down {s4}
qst_bounty_3_text|The {s9} of {s14} asked you to hunt down the fugitive named {s4}. He is currently believed to be at {s3}.
qst_bounty_4|Hunt down {s4}
qst_bounty_4_text|The {s9} of {s14} asked you to hunt down the fugitive named {s4}. He is currently believed to be at {s3}.
qst_bounty_5|Hunt down {s4}
qst_bounty_5_text|The {s9} of {s14} asked you to hunt down the fugitive named {s4}. He is currently believed to be at {s3}.
qst_bounty_6|Hunt down {s4}
qst_bounty_6_text|The {s9} of {s14} asked you to hunt down the fugitive named {s4}. He is currently believed to be at {s3}.
qst_kill_local_merchant|Assassinate the Local Merchant at {s3}
qst_bring_back_runaway_serfs|Bring Back the Runaway Serfs
qst_follow_spy|Follow the Spy to the Meeting
qst_capture_enemy_hero|Capture a Lord from {s13}
qst_lend_companion|Lend Your Companion {s3} to {s9}
qst_collect_debt|Collect the Debt {s3} Owes to {s9}
qst_incriminate_loyal_commander|Incriminate the Loyal Commander of {s13}, {s16}
qst_meet_spy_in_enemy_town|Meet the Spy in {s13}
qst_capture_prisoners|Bring {reg1} {s3} Prisoners
qst_deliver_love_letter|Deliver Message to {s13}
qst_deliver_letter|Deliver a love letter to {s13}
qst_lend_surgeon|Lend Your Surgeon {s3} to {s1}
qst_follow_army|Follow {s9}'s Army
qst_report_to_army|Report to {s13}, the Marshall
qst_deliver_cattle_to_army|Deliver {reg3} Heads of Cattle to {s13}
qst_join_siege_with_army|Join the Siege of {s14}
qst_screen_army|Screen the Advance of {s13}'s Army
qst_scout_waypoints|Scout {s13}, {s14} and {s15}
qst_rescue_lord_by_replace|Rescue {s13} from {s14}
qst_deliver_message_to_prisoner_lord|Deliver the Message to {s13} at {s14}
qst_duel_for_lady|Challenge {s13} to a Trial of Arms
qst_duel_courtship_rival|Challenge {s13} to a Trial of Arms (Optional)
qst_duel_avenge_insult|Challenge {s13} to a Trial of Arms
qst_move_cattle_herd|Move the Cattle Herd to {s13}
qst_escort_merchant_caravan|Escort the Merchant Caravan to {s8}
qst_deliver_wine|Deliver {reg5} Units of {s6} to {s4}
qst_troublesome_bandits|Hunt Down the Troublesome Bandits
qst_kidnapped_girl|Ransom the Girl from Bandits
qst_persuade_lords_to_make_peace|Make Sure Two Lords Do Not Object to Peace
qst_deal_with_looters|Deal with Looters
qst_deal_with_night_bandits|Deal with the Night Bandits
qst_deliver_grain|Bring wheat to {s3}
qst_deliver_cattle|Deliver {reg5} Heads of Cattle to {s3}
qst_train_peasants_against_bandits|Train the Peasants of {s13} Against Bandits.
qst_escort_scholars|Escort the Scholars to {s8}
qst_escort_scholars_text|Escort the scholars to the town of {s8}.
qst_eliminate_bandits_infesting_village|Save the Village of {s7} from Marauding Bandits
qst_visit_lady|Visit Lady
qst_formal_marriage_proposal|Formal Marriage Proposal
qst_obtain_liege_blessing|Formal Marriage Proposal
qst_wed_betrothed|Wed Your Betrothed
qst_wed_betrothed_female|Wed Your Betrothed
qst_join_faction|Give Oath of Homage to {s1}
qst_rebel_against_kingdom|Help {s13} Claim the Throne of {s14}
qst_consult_with_minister|Consult With Minister
qst_organize_feast|Organize Feast
qst_resolve_dispute|Resolve Dispute
qst_offer_gift|Procure Gift
qst_denounce_lord|Denounce Lord
qst_intrigue_against_lord|Intrigue against Lord
qst_track_down_bandits|Track Down Bandits
qst_track_down_provocateurs|Track Down Provocateurs
qst_retaliate_for_border_incident|Retaliate for a Border Incident
qst_raid_caravan_to_start_war|Attack a Neutral Caravan to Provoke War
qst_cause_provocation|Give a Kingdom Provocation to Attack Another
qst_rescue_prisoner|Rescue or Ransom a Prisoner
qst_destroy_bandit_lair|Destroy Bandit Lair
qst_get_money_from_debtor|Collect Money from debtor in Suno
qst_raid_voldeburg_caravan|Raid the Reich Caravan traveling to Voldeburg.
qst_local_lord|Defeat the Local Lord
qst_defeat_dragon_priest|Defeat a Dragon Priest
qst_defeat_gunnarr|Defeat a dangerous Valahir Mercenary named Gunnarr.
qst_conquer_voldeburg|Conquer Voldeburg
qst_defeat_octiem|Attack the Third Legion Outpost
qst_conquer_forniron|Conquer the Elintoran Capital of Forniron
qst_kill_svafar|Kill Svafar and avenge the death of Torsson
qst_disbelievers|Destroy the party of Disbelievers
qst_infidels|Destroy the party of Infidels
qst_elites_fac1|Destroy Renegades
qst_mysteryquest|Missing Portrait
qst_secretarians|Defeat the Secretarian Group of Priests.
qst_elites_fac3|Eradicate the Rebel Tribe
qst_elites_fac4|Defeat the Maccavian Rebels
qst_elites_fac6|Defeat the Hakkon Deserters
qst_elites_fac9|Defeat the Huscarl Rebels
qst_prisoners_for_ramun1|Capture some prisoners for Ramun
qst_demonquest1|Visit the Demon Shrine
qst_escort_wyverns|Escort a Wyvern Party
qst_hunt_secretarians|Hunt Down Secretarians
qst_defeat_kunika|Defeat Kunika
qst_bountyquest1|Defeat a group of Dangerous Escapees
qst_bountyquest2|Defeat a group of Marauding Bandits
qst_bountyquest4|Defeat some Demon Worshippers.
qst_remuserrand|Remus has asked you to deliver a short mesage to a Count.
qst_espada_beowulf|Find the Lyre of Yralis and the Biography of Emperor Thyceo
qst_aegis|You have decided to try and find the mythical Red Immortals and defeat them for loot.
qst_defeat_kalrind|Defeat the infamous Geldarin noble called Kalrind
qst_peasant_rebels_ag|Peasant Rebels and Adventurers
qst_ag_elf_1|Nadriela Zweibal
qst_oim_kidalovo_z_konyem|Half a Kingdom for a Wolf
qst_oim_kidalovo_z_konyem_text|Half a Kingdom for a Wolf
qst_talk_to_npc15|Talk to Shi Jin.
qst_defeat_horde_jin|Defeat the Horde of Jin.
qst_defeat_horde_khergia|Defeat the Horde of Khergia.
qst_defeat_horde_shun_ha|Defeat the Horde of Shun Ha.
qst_defeat_horde_sine|Defeat the Horde of Sine.
qst_talk_to_lord_town|Talk to the owner of {s8}.
qst_meutererstadt_quest|Revolution in Vinica.
qst_talk_to_mercenary_nihonian|Talk to Mercenary Nihonians.
qst_talk_to_omelian_kasap|Talk to Omelian Kasap.
qst_escort_ataman_omelian_kasap|Escort ataman Omelian Kasap.
qst_rebellion_in_town|Crush the rebellion in {s8}.
qst_customer_in_strange_black_armor|Assist the customer wearing strange black armor.
qst_talk_to_customer_in_strange_black_armor|Talk to the person wearing strange black armor.
qst_zannbaumeister_syabr_quest|Renowned fortification builder Syabr.
qst_talk_to_zann_fort_captain|Talk to Zann Fort Captain.
qst_gesprach_mit_zann_ronin|Talk to the scout that joined your party.
qst_gesprach_mit_prisoner_mosoru|Find one of Mosoru riders and enquire him about the attack on Syarb's party.
qst_gesprach_mit_town_19_tavernkeeper|Ask the Tavern Keeper.
qst_defeat_group_masnerian_mercenaries|Defeat the group of Masnerian Mercenaries.
qst_gesprach_mit_town_19_mayor|Ask the Guild Master.
qst_vertrag_mit_augustus|Sign a contract with Augustus Makmix, the leader of the Freelancer Guild.
qst_defeat_group_freelancer_deserters|Defeat the group of Freelancer Deserters.
